x,y
350.0,0.0
349.9466933047369,6.108342253049229
349.7867894566835,12.214823845875339
349.52033716410085,18.317584685030344
349.14741759093846,24.414765810443857
348.66814433211096,30.50450996168036
348.08266337889563,36.584962143678716
347.3911530744627,42.654270191801615
346.5938240595496,48.7105853360229
345.6909192082982,54.752062764080804
344.6827135542728,60.776862183425614
343.5695142066824,66.78314838179068
342.351660256832,72.76909178621577
341.0295226748323,78.73286902035275
339.60350419659875,84.67266345988371
338.0740392011739,90.58666578588226
336.4415935784116,96.4730745359497
334.7066645870624,102.33009665295786
332.8697807033037,108.15594803123159
330.9315014597609,113.94885406000485
328.89241727506794,119.70705016398405
326.7531492740206,125.4287823408551
324.5143490983756,131.1123076955692
322.17669870835414,136.75589497124582
319.7409101749103,142.35782507653008
317.20772546282745,147.9163916092448
314.57791620470846,153.4299013761771
311.8522834659288,158.89667490884136
309.0316575006244,164.3150469750618
306.1168974987885,169.68336708621797
303.10889132455355,174.99999999999997
300.00855524573933,180.26332621851896
296.8168336547491,185.4717424816217
293.5346987808984,190.6236622552595
290.1631503942646,195.71751621476142
286.70321550114716,200.75175272286612
283.1559480312316,205.7248383023656
279.5224285165525,210.6352581032169
275.8037637623527,215.4815163639804
272.0010865099398,220.26213686744308
268.1155550916423,224.97566339028873
264.1483530779702,229.62066014667755
260.100688917088,234.19571222560037
255.97379556670967,238.69942602187447
251.76893011852792,243.13042966064904
247.48737341529164,247.48737341529164
243.13042966064904,251.76893011852792
238.69942602187447,255.97379556670967
234.19571222560037,260.100688917088
229.62066014667755,264.1483530779702
224.9756633902888,268.1155550916423
220.26213686744313,272.0010865099398
215.4815163639804,275.80376376235273
210.63525810321693,279.5224285165525
205.7248383023656,283.1559480312316
200.75175272286612,286.70321550114716
195.7175162147614,290.1631503942646
190.6236622552595,293.5346987808984
185.4717424816217,296.81683365474913
180.26332621851896,300.00855524573933
175.00000000000003,303.1088913245535
169.683367086218,306.1168974987885
164.3150469750618,309.0316575006244
158.8966749088414,311.85228346592874
153.4299013761771,314.57791620470846
147.9163916092448,317.20772546282745
142.35782507653008,319.7409101749103
136.7558949712458,322.17669870835414
131.1123076955692,324.5143490983756
125.42878234085514,326.7531492740206
119.70705016398409,328.8924172750679
113.94885406000486,330.93150145976085
108.1559480312316,332.8697807033037
102.33009665295786,334.7066645870624
96.4730745359497,336.4415935784116
90.58666578588226,338.0740392011739
84.67266345988368,339.60350419659875
78.73286902035272,341.0295226748323
72.76909178621581,342.35166025683196
66.78314838179072,343.5695142066824
60.77686218342564,344.6827135542728
54.752062764080826,345.6909192082982
48.710585336022916,346.5938240595496
42.65427019180162,347.3911530744627
36.58496214367871,348.08266337889563
30.50450996168035,348.66814433211096
24.414765810443832,349.14741759093846
18.31758468503039,349.52033716410085
12.214823845875378,349.7867894566835
6.108342253049259,349.9466933047369
2.1431318985078682e-14,350.0
-6.108342253049217,349.9466933047369
-12.214823845875335,349.7867894566835
-18.317584685030344,349.52033716410085
-24.414765810443864,349.14741759093846
-30.504509961680384,348.66814433211096
-36.584962143678744,348.08266337889563
-42.65427019180158,347.39115307446275
-48.71058533602287,346.5938240595496
