time,img_pos
2.9785502000013366,"(-700, 0)"
2.978656300008879,"(-700, 0)"
3.4931665000040084,"(700, 0)"
4.009588000000804,"(-700, 0)"
4.52611479999905,"(700, 0)"
5.042833400002564,"(-700, 0)"
5.559481900010724,"(700, 0)"
6.076451500004623,"(-700, 0)"
6.593146800005343,"(700, 0)"
