trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.023812299987185,7.023812299987185,space,0.31397510001261253,,,883724,001,2023-02-05_01h31.11.360,sample,2022.2.5,59.165751074862875,
0,0,0,0,,,,,7.35717730000033,8.3569831999921,883724,001,2023-02-05_01h31.11.360,sample,2022.2.5,59.165751074862875,
