trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,18.96531820000382,18.96531820000382,space,11.872528500010958,,,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
0,0,0,0,,,,,30.86497940000845,31.86553549999371,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
1,0,1,0,,,,,,,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
2,0,2,0,,,,,,,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
3,0,3,0,,,,,,,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
4,0,4,0,,,,,,,,,,,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
,,,,,,,,,,34.36516799998935,34.36516799998935,space,8.982442900014576,,,,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
,,,,,,,,43.36528209998505,44.364614999998594,,,,,44.364614999998594,space,27.912665999989258,,,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
,,,,,,,,,,,,,,,,,72.2982614999928,None,238189,001,2023-02-06_16h08.16.333,sample,2022.2.5,60.13200177438078,
