trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,start_circleM.started,start_circle_keyboard.started,start_circle_keyboard.keys,start_circle_keyboard.rt,cross_img_circle.started,cross_img_circle.stopped,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.906451499999093,7.906451499999093,space,1.5788402000034694,,,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
0,0,0,0,,,,,9.504983300001186,10.504897099999653,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
,,,,,,,,,,13.005311300003086,13.005311300003086,space,0.3979077000039979,,,,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
,,,,,,,,13.422233600002073,14.424945099999604,,,,,14.424945099999604,space,0.3781130999996094,,,,,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
,,,,,,,,,,,,,,,,,14.82223410000006,14.82223410000006,space,0.47301619999780087,,,,,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
,,,,,,,,,,,,,,,,,,,,,15.322327800000494,16.324427999999898,16.324427999999898,None,365572,001,2023-02-26_05h43.25.287,sample,2022.2.5,60.4111340128692,
