trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,start_circleM.started,start_circle_keyboard.started,start_circle_keyboard.keys,start_circle_keyboard.rt,cross_img_circle.started,cross_img_circle.stopped,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.412198699996225,7.412198699996225,space,2.3041206000052625,,,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
0,0,0,0,,,,,9.744929499996942,10.744964999998047,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
,,,,,,,,,,13.244964899997285,13.244964899997285,space,1.6628355000066222,,,,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
,,,,,,,,14.928141700002016,15.928277999999409,,,,,15.928277999999409,space,25.75395810000191,,,,,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
,,,,,,,,,,,,,,,,,41.711295599998266,41.711295599998266,space,4.165315400001418,,,,,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
,,,,,,,,,,,,,,,,,,,,,45.89472789999854,46.89475900000252,46.89475900000252,None,949528,001,2023-02-26_05h44.19.455,sample,2022.2.5,59.992213010821324,
