trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,start_scade_key_resp.started,start_scade_key_resp.keys,start_scade_key_resp.rt,corss_image.started,corss_image.stopped,txt.started,start_smoth_keybrd.started,start_smoth_keybrd.keys,start_smoth_keybrd.rt,tr_smooth_key_smooth_resp_.started,tr_smooth_key_smooth_resp_.keys,tr_smooth_key_smooth_resp_.rt,start_circleM.started,start_circle_keyboard.started,start_circle_keyboard.keys,start_circle_keyboard.rt,cross_img_circle.started,cross_img_circle.stopped,tr_circ_resp_keyboard.started,tr_circ_resp_keyboard.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,7.575472600001376,7.575472600001376,space,0.4490912000037497,,,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
0,0,0,0,,,,,8.0415878000058,9.041581700003007,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
,,,,,,,,,,11.541418499997235,11.541418499997235,space,0.48733800000627525,,,,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
,,,,,,,,12.058207199996104,13.058240700003807,,,,,13.058240700003807,space,0.3643318999966141,,,,,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
,,,,,,,,,,,,,,,,,13.441465399999288,13.441465399999288,space,0.451819300011266,,,,,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
,,,,,,,,,,,,,,,,,,,,,13.924987699996564,14.924740100002964,14.924740100002964,None,818413,001,2023-02-09_03h28.30.074,sample,2022.2.5,59.988110356779636,
